case_name,RoI,predict values,residuals,legend
office14_660_246_aout,132.09047619047618,130.66236466386962,-1.428111526606557,Trainingoffice14
office14_660_82_bout,130.16190476190476,128.7512355345346,-1.410669227370164,Trainingoffice14
office14_660_82_aout,144.77142857142854,145.13440347957615,0.36297490814760636,Trainingoffice14
office14_660_164_bout,138.3857142857143,137.7168294693762,-0.6688848163381067,Trainingoffice14
office14_0_164_aout,146.7809523809524,147.0209439523069,0.23999157135449423,Trainingoffice14
office14_0_82_aout,150.34285714285716,151.2635399579965,0.9206828151393438,Trainingoffice14
office14_660_164_aout,140.2809523809524,140.0257574839535,-0.2551948969989155,Trainingoffice14
office14_660_246_bout,144.13333333333333,143.3754485222369,-0.7578848110964316,Trainingoffice14
office14_360_246_bout,159.75714285714284,161.18859900915288,1.4314561520100426,Trainingoffice14
office14_960_82_aout,121.86666666666667,119.45755281557351,-2.409113851093167,Trainingoffice14
office14_360_82_bout,148.7190476190476,149.33480294084535,0.6157553217977636,Trainingoffice14
office14_360_82_aout,148.57142857142858,149.41904094625124,0.8476123748226598,Trainingoffice14
office14_0_0,141.73333333333332,141.51016650985008,-0.2231668234832398,Trainingoffice14
office14_960_164_bout,135.01904761904763,133.9620019298051,-1.0570456892425284,Trainingoffice14
office14_0_246_aout,126.65714285714284,123.69483013800888,-2.962312719133962,Trainingoffice14
office14_360_164_aout,159.61904761904762,161.7805254490947,2.1614778300470903,Trainingoffice14
office14_360_0,160.0095238095238,162.07425992788606,2.064736118362248,Trainingoffice14
office14_0_82_bout,164.64285714285717,167.0811288113042,2.438271668447044,Trainingoffice14
office14_960_246_aout,152.6047619047619,153.71791480854984,1.1131529037879488,Trainingoffice14
office14_960_164_aout,124.71428571428572,122.56693446819588,-2.1473512460898405,Trainingoffice14
office14_0_164_bout,135.9952380952381,134.25919113049892,-1.736046964739188,Trainingoffice14
office14_0_246_bout,146.7904761904762,146.19311507073402,-0.5973611197421747,Trainingoffice14
office14_960_82_bout,158.2190476190476,160.32392957152834,2.1048819524807527,Trainingoffice14
office14_660_0,152.88095238095238,154.54479687936504,1.663844498412658,Trainingoffice14
office14_360_246_aout,147.3,147.51056435894546,0.21056435894544734,Trainingoffice14
office14_960_0,153.72857142857143,155.35353976380011,1.6249683352286866,Trainingoffice14
office14_960_246_bout,154.09047619047618,155.36196846389856,1.271492273422382,Trainingoffice14
office28_360_164_bout,138.0175438596491,147.3957560478771,9.378212188227991,Trainingoffice28
office28_660_246_aout,125.7719298245614,128.79385595989146,3.0219261353300624,Trainingoffice28
office28_660_82_bout,117.08771929824562,115.37706229002991,-1.7106570082157049,Trainingoffice28
office28_660_82_aout,127.30526315789471,131.59474226740005,4.289479109505336,Trainingoffice28
office28_660_164_bout,131.8456140350877,138.15807796423934,6.312463929151647,Trainingoffice28
office28_0_164_aout,109.3859649122807,103.69378850889713,-5.69217640338357,Trainingoffice28
office28_0_82_aout,106.99649122807018,99.86619617371775,-7.13029505435243,Trainingoffice28
office28_660_164_aout,113.85263157894738,110.88696520622614,-2.9656663727212447,Trainingoffice28
office28_660_246_bout,125.7017543859649,128.07925693412682,2.377502548161914,Trainingoffice28
office28_360_246_bout,116.0561403508772,113.67001627459078,-2.3861240762864213,Trainingoffice28
office28_960_82_aout,122.54736842105262,124.04728503802028,1.4999166169676528,Trainingoffice28
office28_360_82_bout,131.07719298245613,137.04550295821036,5.968309975754238,Trainingoffice28
office28_360_82_aout,116.60701754385966,115.03930598686296,-1.5677115569966986,Trainingoffice28
office28_0_0,116.80701754385966,114.99559441807473,-1.811423125784927,Trainingoffice28
office28_960_164_bout,121.30175438596493,121.8491219246128,0.547367538647876,Trainingoffice28
office28_0_246_aout,107.5719298245614,100.67160814942693,-6.900321675134464,Trainingoffice28
office28_360_164_aout,116.5157894736842,114.69448042436316,-1.8213090493210302,Trainingoffice28
office28_360_0,120.83157894736844,121.53306964513224,0.701490697763802,Trainingoffice28
office28_0_82_bout,111.7017543859649,106.99491812303944,-4.706836262925464,Trainingoffice28
office28_960_246_aout,116.16140350877193,113.94751235507913,-2.213891153692799,Trainingoffice28
office28_960_164_aout,121.70877192982456,122.94945170140453,1.2406797715799627,Trainingoffice28
office28_0_164_bout,116.2421052631579,113.76231303034649,-2.4797922328114055,Trainingoffice28
office28_0_246_bout,115.8315789473684,112.56226069172719,-3.2693182556412097,Trainingoffice28
office28_960_82_bout,131.61052631578946,137.73739537278863,6.126869056999169,Trainingoffice28
office28_660_0,107.0280701754386,100.91190545975208,-6.116164715686523,Trainingoffice28
office28_360_246_aout,115.50175438596492,112.95176182768967,-2.5499925582752496,Trainingoffice28
office28_960_0,123.03157894736844,124.89201548681055,1.8604365394421052,Trainingoffice28
office28_960_246_bout,140.50175438596494,150.49877977966665,9.997025393701705,Trainingoffice28
office4_360_164_bout,149.35151515151514,150.0494856512861,0.6979704997709462,Trainingoffice4
office4_660_246_aout,152.29090909090908,152.8742046588977,0.583295567988614,Trainingoffice4
office4_660_82_bout,129.52727272727273,133.02885573332696,3.501583006054233,Trainingoffice4
office4_660_82_aout,162.78787878787878,162.62233034922355,-0.16554843865523594,Trainingoffice4
office4_660_164_bout,178.1212121212121,176.15330269480197,-1.967909426410131,Trainingoffice4
office4_0_164_aout,129.5151515151515,132.3046612374301,2.789509722278609,Trainingoffice4
office4_0_82_aout,148.3212121212121,149.13127196939254,0.8100598481804298,Trainingoffice4
office4_660_164_aout,156.84848484848482,157.12308773729058,0.27460288880575945,Trainingoffice4
office4_660_246_bout,169.7939393939394,167.95284681223308,-1.8410925817063344,Trainingoffice4
office4_360_246_bout,156.769696969697,156.54805583932412,-0.22164113037288757,Trainingoffice4
office4_960_82_aout,168.05454545454546,167.55667062553502,-0.497874829010442,Trainingoffice4
office4_360_82_bout,140.64848484848486,142.67510585001074,2.026621001525882,Trainingoffice4
office4_360_82_aout,154.2,154.7276690226938,0.5276690226938001,Trainingoffice4
office4_0_0,152.8,153.29524644528902,0.4952464452890126,Trainingoffice4
office4_960_164_bout,164.8909090909091,164.71193314801755,-0.1789759428915545,Trainingoffice4
office4_0_246_aout,180.5818181818182,177.55836254072446,-3.023455641093733,Trainingoffice4
office4_360_164_aout,140.52121212121213,142.20282749329465,1.6816153720825184,Trainingoffice4
office4_360_0,156.39393939393938,156.45592832299656,0.06198892905717912,Trainingoffice4
office4_0_82_bout,151.08484848484846,151.95871638663647,0.8738679017880031,Trainingoffice4
office4_960_246_aout,164.01818181818183,163.49432288534297,-0.5238589328388628,Trainingoffice4
office4_960_164_aout,179.6909090909091,177.56438166476758,-2.1265274261415072,Trainingoffice4
office4_0_164_bout,176.44242424242424,173.80767401032773,-2.6347502320965077,Trainingoffice4
office4_0_246_bout,151.37575757575758,151.58727219640073,0.2115146206431575,Trainingoffice4
office4_960_82_bout,175.55151515151516,174.02095124884227,-1.5305639026728954,Trainingoffice4
office4_660_0,160.47878787878787,160.63047204179236,0.1516841630044894,Trainingoffice4
office4_360_246_aout,143.8363636363636,145.2233093896538,1.386945753290206,Trainingoffice4
office4_960_0,146.9818181818182,148.86723660300143,1.8854184211832319,Trainingoffice4
office4_960_246_bout,186.44242424242424,183.19502956267897,-3.2473946797452697,Trainingoffice4
office7_360_164_bout,162.15555555555554,162.62907690456655,0.4735213490110084,Trainingoffice7
office7_660_246_aout,190.5,190.27020126604702,-0.22979873395297545,Trainingoffice7
